時間,預報時效(小時),有效時間,2米溫度(°C),2米露點溫度(°C),2米相對濕度(%),海平面氣壓(hPa),10米U風(m/s),10米V風(m/s),10米風速(m/s),10米風向(度),陣風(m/s),總雲量(%),低雲量(%),中雲量(%),高雲量(%),降雨類型,累積降水量(mm),對流可用位能(J/kg),對流抑制指數(J/kg),可降水量(mm),螺旋度(m²/s²)
2024-10-26 00:00:00,83,2024-10-29 11:00:00,25.5,19.5,69.7,1009.9,-4.3,1.3,4.5,106.6,4.5,96.5,3.0,96.5,9.7,0.0,0.0,0.0,-0.4,52.9,23.2
2024-10-26 00:00:00,84,2024-10-29 12:00:00,25.6,19.8,70.6,1010.8,-3.8,1.4,4.1,109.9,3.9,95.2,3.1,95.2,3.6,0.0,0.0,0.0,-0.3,53.2,21.9
2024-10-26 00:00:00,85,2024-10-29 13:00:00,25.6,20.2,72.2,1011.5,-4.0,1.3,4.2,107.5,3.9,97.7,3.8,97.7,4.9,0.0,0.0,6.5,-17.1,53.8,19.2
2024-10-26 00:00:00,86,2024-10-29 14:00:00,25.5,20.5,73.7,1011.4,-4.0,0.9,4.1,103.1,3.9,77.8,4.1,77.8,26.1,0.0,0.0,13.5,-46.5,54.1,23.5
2024-10-26 00:00:00,87,2024-10-29 15:00:00,25.4,20.6,74.8,1011.5,-3.3,0.5,3.3,98.0,3.3,92.9,25.0,92.9,10.0,0.5,0.0,26.7,-39.4,54.3,21.5
2024-10-26 00:00:00,88,2024-10-29 16:00:00,25.2,20.6,75.9,1011.2,-3.4,-0.0,3.4,89.7,3.7,92.3,49.0,91.8,41.3,0.9,0.1,33.0,-8.6,54.5,23.3
2024-10-26 00:00:00,89,2024-10-29 17:00:00,25.1,20.5,75.7,1010.7,-2.9,-0.6,3.0,78.2,3.5,100.0,61.6,98.3,99.8,0.6,0.2,31.0,-24.2,54.6,22.6
2024-10-26 00:00:00,90,2024-10-29 18:00:00,24.9,19.9,73.8,1010.1,-1.7,-1.7,2.4,43.5,3.3,100.0,74.8,95.9,95.5,0.9,0.3,26.8,0.4,54.2,26.1
2024-10-26 00:00:00,91,2024-10-29 19:00:00,24.8,19.1,71.1,1010.2,-0.8,-2.6,2.7,17.9,3.6,100.0,82.8,82.6,99.7,1.0,0.1,23.7,-11.4,54.0,34.3
2024-10-26 00:00:00,92,2024-10-29 20:00:00,24.5,18.4,68.7,1010.3,-0.5,-3.0,3.0,9.3,3.6,97.3,85.8,69.0,92.6,0.8,0.3,11.8,-6.2,53.9,41.7
2024-10-26 00:00:00,93,2024-10-29 21:00:00,24.4,17.9,67.2,1010.7,-0.6,-3.1,3.2,10.8,3.9,100.0,82.4,59.4,100.0,0.4,0.4,6.9,0.2,53.6,44.7
2024-10-26 00:00:00,94,2024-10-29 22:00:00,24.4,17.5,65.5,1011.2,-0.9,-3.0,3.2,16.6,3.9,99.3,76.4,57.1,95.6,0.1,0.4,0.8,0.1,53.0,38.6
2024-10-26 00:00:00,95,2024-10-29 23:00:00,24.4,17.4,65.1,1011.9,-1.6,-2.5,3.0,32.1,3.9,100.0,74.6,92.0,100.0,0.1,0.5,2.1,-5.0,53.0,23.4
2024-10-26 00:00:00,96,2024-10-30 00:00:00,24.7,17.8,65.7,1012.3,-1.8,-2.4,3.0,37.4,4.1,98.0,29.9,97.0,60.0,0.1,0.5,3.1,-6.2,52.8,13.7
2024-10-26 00:00:00,97,2024-10-30 01:00:00,25.0,18.5,67.6,1012.5,-1.7,-2.5,3.0,34.2,4.1,41.2,23.1,22.6,16.2,0.1,0.0,4.0,-8.5,52.8,9.9
2024-10-26 00:00:00,98,2024-10-30 02:00:00,25.6,19.2,67.5,1012.8,-1.8,-2.8,3.4,32.7,4.0,36.5,22.8,19.3,4.2,0.1,0.1,3.8,-9.8,52.4,10.3
2024-10-26 00:00:00,99,2024-10-30 03:00:00,26.2,19.1,65.4,1012.0,-2.0,-2.9,3.5,34.5,3.9,17.4,14.5,7.2,5.8,0.4,0.1,2.8,-0.2,51.1,11.0
2024-10-26 00:00:00,100,2024-10-30 04:00:00,26.6,18.6,62.2,1011.3,-2.3,-2.6,3.5,41.1,4.0,31.0,5.6,18.9,19.7,0.1,0.1,3.2,0.2,49.8,9.7
2024-10-26 00:00:00,101,2024-10-30 05:00:00,26.8,18.2,59.9,1010.5,-3.1,-2.2,3.8,54.2,4.3,91.8,0.5,5.0,91.8,0.0,0.1,0.7,-1.1,48.4,7.6
2024-10-26 00:00:00,102,2024-10-30 06:00:00,26.9,17.8,58.3,1009.5,-2.9,-1.3,3.2,65.6,3.8,80.3,0.0,5.0,80.3,0.0,0.1,0.0,0.3,47.4,2.7
2024-10-26 00:00:00,103,2024-10-30 07:00:00,27.1,17.6,57.0,1008.8,-2.6,-1.1,2.8,67.5,3.7,84.6,0.0,5.0,84.6,0.0,0.0,0.0,-0.2,46.8,4.1
2024-10-26 00:00:00,104,2024-10-30 08:00:00,27.1,18.0,58.1,1008.9,-2.9,0.1,3.0,92.8,3.4,21.4,0.0,5.0,21.4,0.0,0.0,0.0,0.2,46.9,0.5
2024-10-26 00:00:00,105,2024-10-30 09:00:00,26.8,18.3,60.3,1009.0,-2.1,1.0,2.3,115.8,2.5,11.9,0.0,5.0,11.9,0.0,0.0,0.3,-3.1,46.9,5.7
2024-10-26 00:00:00,106,2024-10-30 10:00:00,26.1,19.0,65.4,1009.6,-2.0,1.9,2.8,133.5,2.4,40.3,0.0,21.1,32.4,0.0,0.0,1.1,-5.5,47.5,17.9
2024-10-26 00:00:00,107,2024-10-30 11:00:00,25.9,19.1,66.5,1009.7,-0.6,1.4,1.6,155.5,1.3,28.0,0.0,5.0,26.4,0.0,0.0,0.0,-0.2,47.4,19.4
2024-10-26 00:00:00,108,2024-10-30 12:00:00,25.8,19.3,67.6,1010.6,-0.6,1.6,1.7,160.5,1.6,5.0,0.0,5.0,4.2,0.0,0.0,2.0,-5.8,47.8,26.4
2024-10-26 00:00:00,109,2024-10-30 13:00:00,25.7,19.1,67.3,1010.6,0.8,0.7,1.1,228.6,1.5,8.7,0.0,8.7,5.0,0.0,0.0,0.8,-4.5,47.7,25.6
2024-10-26 00:00:00,110,2024-10-30 14:00:00,25.7,18.8,65.9,1010.8,1.3,-0.0,1.3,270.4,1.8,27.5,0.0,5.0,27.5,0.0,0.0,0.3,-0.3,47.4,12.6
2024-10-26 00:00:00,111,2024-10-30 15:00:00,25.7,18.3,64.0,1010.6,1.8,-0.7,1.9,292.2,2.8,36.7,0.0,5.0,36.7,0.0,0.0,0.1,0.1,46.4,5.6
2024-10-26 00:00:00,112,2024-10-30 16:00:00,25.6,17.8,62.2,1010.2,1.9,-1.1,2.1,299.5,2.9,35.0,0.0,5.0,35.0,0.0,0.0,0.0,-0.4,45.4,0.0
2024-10-26 00:00:00,113,2024-10-30 17:00:00,25.5,17.2,60.3,1010.0,1.8,-1.9,2.6,317.0,3.5,42.8,0.0,5.0,42.8,0.0,0.0,0.0,0.4,44.7,-7.8
2024-10-26 00:00:00,114,2024-10-30 18:00:00,25.2,17.0,60.1,1009.4,2.0,-3.0,3.6,327.1,4.9,92.0,0.0,4.6,92.0,0.0,0.0,0.0,0.3,43.7,-12.9
2024-10-26 00:00:00,115,2024-10-30 19:00:00,25.1,16.9,60.3,1009.7,1.0,-3.7,3.8,344.7,5.1,100.0,0.0,5.0,100.0,0.0,0.0,0.0,-0.1,43.2,-12.5
2024-10-26 00:00:00,116,2024-10-30 20:00:00,24.8,16.8,61.1,1009.2,1.1,-4.2,4.3,345.1,5.6,98.3,0.0,5.0,98.3,0.0,0.0,0.0,-0.4,41.3,-11.6
2024-10-26 00:00:00,117,2024-10-30 21:00:00,24.6,16.7,61.2,1009.4,0.7,-4.1,4.2,350.2,5.4,94.1,0.0,5.0,94.1,0.0,0.0,0.0,0.0,39.5,-10.7
2024-10-26 00:00:00,118,2024-10-30 22:00:00,24.3,16.5,61.3,1009.3,2.2,-4.7,5.2,334.8,7.0,97.2,0.0,5.0,97.2,0.0,0.0,0.0,0.2,36.6,-21.9
2024-10-26 00:00:00,119,2024-10-30 23:00:00,24.1,16.3,61.6,1009.8,2.4,-5.7,6.2,337.0,8.4,54.3,0.0,4.5,54.3,0.0,0.0,0.0,0.2,33.4,-19.5
2024-10-26 00:00:00,120,2024-10-31 00:00:00,24.3,16.0,59.9,1009.9,2.3,-6.8,7.2,341.1,8.9,85.3,0.0,2.7,85.3,0.0,0.0,0.0,-0.4,30.2,-15.2
2024-10-26 00:00:00,123,2024-10-31 03:00:00,27.0,15.1,49.1,1009.3,1.4,-7.3,7.4,349.2,9.0,21.4,0.0,0.0,21.4,0.0,0.0,0.0,-0.5,22.9,10.5
2024-10-26 00:00:00,126,2024-10-31 06:00:00,28.9,14.8,43.9,1005.6,-0.3,-7.5,7.5,2.3,10.0,25.9,0.0,0.0,25.9,0.0,0.0,0.0,0.3,21.1,-1.3
2024-10-26 00:00:00,129,2024-10-31 09:00:00,29.4,15.4,43.8,1005.2,0.9,-6.2,6.3,351.7,9.2,4.1,0.0,0.0,4.1,0.0,0.0,0.0,-0.0,23.9,38.9
2024-10-26 00:00:00,132,2024-10-31 12:00:00,28.0,14.4,44.1,1006.6,1.8,-7.9,8.1,347.3,12.3,81.5,0.0,0.0,81.5,0.0,0.0,0.0,0.3,25.0,66.8
2024-10-26 00:00:00,135,2024-10-31 15:00:00,26.6,14.5,47.6,1007.4,2.1,-8.2,8.4,345.5,12.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,-0.3,29.0,120.8
